[24-May-2017 02:08:34 UTC] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 211
[24-May-2017 02:09:13 UTC] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 211
[24-May-2017 02:09:19 UTC] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 213
[24-May-2017 02:09:51 UTC] PHP Fatal error:  Class 'Illuminate\Database\Schema' not found in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 168
[24-May-2017 04:59:50 UTC] PHP Fatal error:  Class 'Illuminate\Database\Schema' not found in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 158
[24-May-2017 05:01:31 UTC] PHP Fatal error:  Class 'Illuminate\Database\Schema' not found in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 157
[24-May-2017 13:34:52 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 206
[30-May-2017 02:00:17 UTC] PHP Fatal error:  Call to a member function getClientOriginalExtension() on null in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 187
[05-Jun-2017 00:05:05 UTC] PHP Parse error:  syntax error, unexpected 'view' (T_STRING) in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 21
[05-Jun-2017 00:05:19 UTC] PHP Parse error:  syntax error, unexpected 'view' (T_STRING) in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 21
[05-Jun-2017 00:05:27 UTC] PHP Parse error:  syntax error, unexpected 'view' (T_STRING) in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 21
[05-Jun-2017 00:05:55 UTC] PHP Parse error:  syntax error, unexpected 'view' (T_STRING) in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 21
[05-Jun-2017 00:05:57 UTC] PHP Parse error:  syntax error, unexpected 'view' (T_STRING) in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 21
[05-Jun-2017 00:06:14 UTC] PHP Parse error:  syntax error, unexpected 'view' (T_STRING) in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 21
[05-Jun-2017 00:06:42 UTC] PHP Parse error:  syntax error, unexpected 'view' (T_STRING) in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 21
[05-Jun-2017 00:07:06 UTC] PHP Parse error:  syntax error, unexpected 'view' (T_STRING) in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 21
[05-Jun-2017 00:08:27 UTC] PHP Parse error:  syntax error, unexpected 'view' (T_STRING) in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 21
[05-Jun-2017 00:18:29 UTC] PHP Fatal error:  Call to a member function getClientOriginalExtension() on null in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 187
[05-Jun-2017 00:18:48 UTC] PHP Fatal error:  Call to a member function getClientOriginalExtension() on null in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 187
[05-Jun-2017 00:20:01 UTC] PHP Fatal error:  Call to a member function getClientOriginalExtension() on null in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 184
[05-Jun-2017 00:20:08 UTC] PHP Fatal error:  Call to a member function getClientOriginalExtension() on null in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 184
[05-Jun-2017 00:20:39 UTC] PHP Fatal error:  Call to a member function getClientOriginalExtension() on null in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 184
[05-Jun-2017 00:20:52 UTC] PHP Fatal error:  Call to a member function getClientOriginalExtension() on null in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 184
[05-Jun-2017 00:43:53 UTC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in /home/ubuntu/workspace/laravel/storage/framework/views/f373a9e95777d462aa19058f5c06d6fe8d2bef1d.php on line 19
[05-Jun-2017 00:43:54 UTC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in /home/ubuntu/workspace/laravel/storage/framework/views/f373a9e95777d462aa19058f5c06d6fe8d2bef1d.php on line 19
[05-Jun-2017 00:44:08 UTC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in /home/ubuntu/workspace/laravel/storage/framework/views/f373a9e95777d462aa19058f5c06d6fe8d2bef1d.php on line 22
[05-Jun-2017 00:44:11 UTC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in /home/ubuntu/workspace/laravel/storage/framework/views/f373a9e95777d462aa19058f5c06d6fe8d2bef1d.php on line 22
[05-Jun-2017 00:44:12 UTC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in /home/ubuntu/workspace/laravel/storage/framework/views/f373a9e95777d462aa19058f5c06d6fe8d2bef1d.php on line 22
[05-Jun-2017 00:44:15 UTC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in /home/ubuntu/workspace/laravel/storage/framework/views/f373a9e95777d462aa19058f5c06d6fe8d2bef1d.php on line 22
[05-Jun-2017 02:04:01 UTC] PHP Fatal error:  Call to undefined method stdClass::put() in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 37
[05-Jun-2017 02:04:33 UTC] PHP Parse error:  syntax error, unexpected ':', expecting '(' in /home/ubuntu/workspace/laravel/storage/framework/views/2c75c68967df0c7dcc984e9960b7eaef1ed923cf.php on line 7
[05-Jun-2017 02:04:45 UTC] PHP Parse error:  syntax error, unexpected ':', expecting '(' in /home/ubuntu/workspace/laravel/storage/framework/views/2c75c68967df0c7dcc984e9960b7eaef1ed923cf.php on line 7
[05-Jun-2017 02:05:13 UTC] PHP Fatal error:  Call to undefined method stdClass::push() in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 37
[05-Jun-2017 02:13:41 UTC] PHP Fatal error:  Call to undefined method stdClass::put() in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 38
[05-Jun-2017 02:16:00 UTC] PHP Fatal error:  Call to undefined method stdClass::all() in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 38
[05-Jun-2017 02:16:09 UTC] PHP Fatal error:  Call to undefined method stdClass::all() in /home/ubuntu/workspace/laravel/app/Http/Controllers/LibraryController.php on line 38
[05-Jun-2017 02:16:25 UTC] PHP Parse error:  syntax error, unexpected ':', expecting '(' in /home/ubuntu/workspace/laravel/storage/framework/views/2c75c68967df0c7dcc984e9960b7eaef1ed923cf.php on line 7
